"id","code"
7819,"AU"
7820,"AU"
7821,"AU"
7822,"AU"
7823,"AU"
7824,"AU"
7825,"AU"
7826,"AU"
7827,"AU"
7828,"AU"
7829,"AU"
7830,"AU"
7831,"AU"
7832,"AU"
7833,"AU"
7834,"AU"
7835,"AU"
7836,"AU"
7837,"AU"
7838,"AU"
7839,"AU"
7840,"AU"
10001,"PV"
10002,"PV"
10003,"PV"
10004,"PV"
10005,"PV"
10006,"PV"
10007,"PV"
10008,"PV"
10009,"PV"
10010,"PV"
10011,"PV"
10012,"PV"
10013,"PV"
10014,"PV"
10015,"PV"
10016,"PE"
10017,"PE"
10018,"AC"
10019,"AC"
10020,"AC"
10021,"AC"
10022,"AU"
10023,"AU"
10024,"AC"
10025,"AC"
10026,"AC"
10027,"AC"
10028,"AU"
10029,"AU"
10030,"AU"
10031,"IN"
10032,"IN"
10033,"IN"
10034,"IN"
10035,"IN"
10036,"IN"
10037,"IN"
10038,"IN"
10039,"IN"
10040,"IN"
10041,"IN"
10042,"IN"
10043,"IN"
10044,"IN"
10045,"IN"
10046,"IN"
10047,"IN"
10048,"IN"
